object name,RA (in degree),DEC (in degree),g magnitude,i magnitude,r magnitude
manga-10508-6101 ,183.372,50.741528,16.658955314589193,15.085763781338915,15.596881669021418
manga-10508-6103 ,183.26399,51.648598,18.579639300560945,17.392679979729145,17.929472518523575
manga-10512-3701 ,135.69104,3.275085,19.073176179697903,17.493629582300297,17.990097713683273
manga-10516-12701,150.52933,3.057686,16.552462313963577,15.519549906034941,15.839228954630467
manga-10516-6104 ,151.83607,4.079311,17.697667297301578,16.627039964427333,17.019740592096213
manga-10519-6102 ,154.8233,4.763066,18.361162485395624,17.183106125609548,17.618230673941113
manga-7443-12703 ,229.52557,42.745842,17.304956075237676,16.240655885966735,16.69235601458404
manga-7815-6104  ,319.19308,11.043741,17.704531025158662,16.591847431764457,17.36275015145456
manga-7957-12702 ,256.69376,35.658184,18.226186355577227,17.136698907572754,17.473461403943205
manga-7960-12704 ,259.0443,31.792309,18.301276018876717,17.06842681442187,17.48451553670785
manga-7960-9102  ,259.24692,32.245888,18.593000119203325,17.004159224795547,17.487662578462896
manga-7968-3701  ,322.21332,-1.0701182,18.649129654611084,17.369138622876534,17.835093801072865
manga-7968-3704  ,322.60788,-0.47452074,18.660087038428394,17.392154565052067,17.863640101021048
manga-7972-3704  ,316.8413,11.066421,17.164322967731987,15.685417372234866,16.18239294929896
manga-7990-1902  ,264.5225,57.118164,16.93532496176116,16.462797698409418,16.626982831308247
manga-7990-3703  ,262.09933,57.545414,17.591913772012035,16.90999769703092,17.099183346277215
manga-7990-6104  ,261.6076,58.588856,18.492061184029108,17.093142112451023,17.63700838369114
manga-7991-12701 ,257.75223,56.93534,16.806227127921172,16.102787401595073,16.522783652999752
manga-7991-1901  ,258.54846,57.976097,NaN,NaN,NaN
manga-7992-6102  ,253.88908,63.24212,17.126815902310845,15.806934208182058,16.194445660926434
manga-8078-6103  ,42.416542,-0.069850735,17.54202752317667,16.133886167449937,16.642767091367855
manga-8078-9102  ,42.542126,-0.867116,18.67146572689789,17.21849822609136,17.774432350492706
manga-8079-12705 ,42.81131,-0.32925212,16.843246651308753,15.479173857107476,15.91262158160758
manga-8080-12703 ,49.4878,-0.16910058,16.986578189516667,15.542555615159337,15.958701304271699
manga-8080-6102  ,48.01039,-0.078473404,18.38310149552629,16.961215888532664,17.413988584306328
manga-8081-9101  ,47.772182,-0.5465378,16.685442138018264,15.180013962827687,15.736629323107195
manga-8082-12702 ,48.438416,-0.24146006,18.158338162611276,16.790710296666205,17.228733873404117
manga-8082-9102  ,50.179935,-1.0022918,17.069179692924372,15.979474916950052,16.438779055448116
manga-8083-12702 ,50.245415,-0.367683,18.303602528885236,17.325776432346963,17.626339789340243
manga-8083-12705 ,50.178986,-1.1086535,19.359894840227255,17.61297566819194,18.141788799037958
manga-8131-12705 ,112.55991,39.53346,18.49399963855259,17.157423690917916,17.61166881068146
manga-8132-6101  ,111.73368,41.02669,17.507647620109235,16.16863605026544,16.636011572591556
manga-8134-9102  ,116.280205,46.072422,16.574746032030383,15.538216378548036,16.346896688114363
manga-8135-1902  ,114.09638,39.43828,19.236410749128382,17.576202876755055,18.138402140507985
manga-8137-3702  ,115.36872,44.408794,16.75428404375791,15.369888955545758,15.786670211284303
manga-8138-12704 ,116.657135,44.790516,18.346742010558682,17.293332364370883,17.659394665353187
manga-8140-3701  ,116.17686,42.357693,19.028743224184375,17.177072221028613,17.860933293818427
manga-8143-6101  ,121.0142,40.802612,17.071818964141606,15.682047911655921,16.186935147257465
manga-8143-6103  ,120.11665,41.66065,18.52671538947758,17.100348036125407,17.542589487377107
manga-8145-12702 ,115.9636,28.357784,16.94514602333075,16.058544745319246,16.376153341610475
manga-8146-1901  ,117.05386,28.225092,18.309166621715626,17.040503340578496,17.531560580166655
manga-8154-12701 ,45.43511,-0.59263,17.73375937406162,16.244381808733216,16.741636155744985
manga-8154-3702  ,43.65829,0.93943524,19.067522132792696,17.66786724157957,18.10011488989624
manga-8158-3704  ,61.453262,-6.3238373,19.617195030178554,17.84113291206236,18.3036770406612
